# delay_ms(x) × ESO_w0(y), 每格 625 次
delay_ms\ESO_w0,10.000,14.872,19.744,24.615,29.487,34.359,39.231,44.103,48.974,53.846,58.718,63.590,68.462,73.333,78.205,83.077,87.949,92.821,97.692,102.564,107.436,112.308,117.179,122.051,126.923,131.795,136.667,141.538,146.410,151.282,156.154,161.026,165.897,170.769,175.641,180.513,185.385,190.256,195.128,200.000
0.000,2.08,3.52,3.36,3.20,3.04,3.68,4.00,4.80,4.80,3.36,4.80,5.92,6.56,6.88,4.16,4.00,4.64,5.12,5.12,3.84,6.56,5.28,6.88,3.52,6.40,5.76,5.44,5.92,6.08,5.76,7.04,3.68,7.04,4.32,6.24,5.28,6.40,3.52,6.08,4.96
0.308,1.28,3.52,1.28,3.68,2.72,4.64,5.12,5.12,6.88,5.76,5.12,4.96,4.80,5.12,4.64,4.96,5.44,4.48,8.64,5.44,4.96,7.04,5.92,6.24,4.32,6.08,6.56,5.60,4.80,4.80,4.96,7.04,4.80,3.84,5.92,6.72,5.12,5.92,7.20,5.92
0.615,2.72,3.36,3.84,2.72,3.68,5.12,3.68,3.04,4.96,5.60,4.64,3.68,4.96,4.48,4.48,5.28,4.64,4.64,6.88,6.24,6.08,5.44,4.96,6.24,4.32,4.00,5.12,5.44,6.08,4.80,4.64,5.60,3.20,5.76,5.12,6.40,5.60,4.00,5.76,5.92
0.923,1.92,3.20,4.16,4.48,5.12,3.52,3.52,4.64,4.64,4.80,4.48,4.16,6.08,6.24,4.32,5.28,4.64,5.60,5.92,4.80,4.64,3.84,4.80,6.08,4.48,6.72,5.28,6.24,6.40,4.48,5.60,4.16,5.44,5.12,4.80,5.28,5.28,5.12,6.08,4.80
1.231,2.72,3.20,3.68,3.52,4.64,3.20,4.16,5.12,4.00,4.32,4.00,6.72,4.64,5.60,4.64,5.28,5.12,5.28,5.28,5.76,4.96,5.60,5.76,5.60,5.60,5.28,5.12,5.44,5.60,5.92,5.76,5.44,4.96,5.44,5.60,5.92,4.64,5.28,6.56,5.12
1.538,2.08,3.20,3.68,2.88,3.68,3.84,4.32,5.44,4.16,4.64,4.16,4.80,6.24,4.96,5.28,5.12,4.00,4.48,5.76,5.28,5.44,6.56,4.96,5.92,4.80,5.44,4.80,5.60,4.32,4.32,6.56,6.08,5.60,7.36,4.00,5.92,4.16,5.28,5.28,5.92
1.846,1.76,3.04,4.64,3.20,5.12,4.32,5.12,2.88,3.84,5.60,4.32,4.64,5.76,3.68,5.92,5.60,5.28,5.12,6.08,5.92,5.92,5.28,4.64,4.16,4.16,5.28,4.00,4.32,5.44,5.28,5.76,7.20,4.00,5.44,6.24,6.08,6.72,5.76,6.08,4.48
2.154,3.04,3.84,4.00,3.84,2.88,3.52,4.96,4.48,5.44,4.00,4.16,7.36,4.64,4.80,4.64,5.92,5.92,4.96,4.80,4.64,4.96,5.60,4.64,6.24,5.28,4.64,4.80,4.96,5.44,4.32,5.44,4.00,6.24,3.68,6.08,4.96,7.84,5.92,6.40,4.64
2.462,2.24,2.72,2.24,3.68,3.68,5.12,6.72,3.68,5.44,4.80,7.36,5.76,4.00,4.16,3.68,5.76,6.72,4.64,3.68,6.08,5.12,5.60,4.00,4.80,4.96,5.44,5.92,6.24,5.28,5.76,5.44,6.72,4.16,6.88,4.96,3.36,5.28,5.92,4.64,4.48
2.769,2.08,1.92,4.96,3.04,3.68,4.00,4.96,4.64,4.64,5.28,5.12,4.96,4.80,4.32,6.56,5.12,4.96,5.28,3.68,4.32,6.24,6.40,5.92,7.20,6.56,5.12,6.56,4.48,4.32,6.08,3.68,5.60,4.96,4.80,7.36,5.28,7.68,4.96,5.12,4.48
3.077,2.08,3.52,3.20,2.56,3.36,5.60,4.32,4.00,4.32,4.96,5.12,5.28,4.00,4.16,3.68,3.84,4.48,4.48,4.00,5.44,3.52,5.60,5.76,4.00,5.12,4.96,4.80,6.08,6.24,4.48,5.28,4.96,5.12,6.08,6.08,4.96,5.60,7.04,7.52,7.04
3.385,3.68,2.88,5.12,3.36,3.68,4.80,5.12,4.32,5.12,3.04,3.36,4.00,5.12,4.96,5.12,2.56,4.64,5.44,5.28,3.68,4.48,4.96,5.44,5.92,4.00,5.28,4.48,5.60,7.20,5.60,5.76,4.16,5.28,6.40,4.16,5.12,6.56,5.28,5.76,5.76
3.692,1.60,3.68,4.96,4.32,3.84,4.48,5.28,4.64,4.32,4.96,4.64,4.16,5.60,5.12,4.96,5.28,6.08,4.32,4.64,4.32,3.52,4.32,5.28,6.24,4.80,3.68,4.80,5.12,3.52,5.92,5.12,4.48,4.80,5.92,5.12,6.72,5.12,6.72,5.76,4.32
4.000,2.56,2.88,4.00,4.00,4.00,3.68,4.16,4.64,4.00,4.48,4.48,4.16,4.96,5.28,4.00,4.32,4.32,3.68,6.56,5.60,5.28,5.28,4.64,3.84,4.16,5.92,5.12,4.00,5.76,5.60,4.64,5.44,5.76,5.92,4.48,5.12,6.24,4.32,6.24,6.40
4.308,3.52,1.60,4.00,4.96,4.32,3.84,3.84,4.16,5.44,4.80,4.80,6.72,4.32,5.44,4.64,4.48,5.44,5.44,5.60,5.28,6.40,4.64,5.76,5.12,6.24,5.60,4.64,5.92,5.44,6.56,5.92,5.92,4.00,6.24,4.64,4.48,6.08,6.72,4.32,5.92
4.615,2.88,2.88,3.04,3.52,5.28,3.84,4.00,4.32,4.32,4.32,5.60,3.84,5.12,4.64,6.40,4.64,5.12,4.48,6.88,3.68,5.60,4.32,4.00,4.48,4.96,4.00,6.56,5.92,4.64,5.12,6.40,4.48,4.32,5.44,5.76,5.44,5.60,5.92,4.16,5.76
4.923,1.76,2.72,3.52,4.00,3.04,3.68,3.84,4.48,4.96,4.00,5.44,4.32,4.80,5.28,3.36,5.76,5.60,5.28,5.60,5.12,5.44,4.48,5.92,4.32,4.96,5.28,4.16,5.28,5.60,3.84,6.56,3.36,5.60,5.44,4.96,6.08,5.92,5.92,4.00,4.48
5.231,2.72,2.08,2.88,4.48,4.00,3.36,3.52,4.32,6.08,4.80,5.92,4.80,5.60,4.00,4.48,6.08,5.92,3.68,4.32,6.24,4.00,4.80,3.84,4.16,5.60,6.72,5.60,3.68,4.96,4.96,4.96,4.80,4.64,4.80,4.48,5.60,5.60,5.28,4.48,5.76
5.538,1.44,3.52,2.24,3.20,4.32,3.68,4.32,4.00,4.16,4.16,5.44,4.16,4.80,5.44,4.64,5.12,5.44,3.52,5.28,5.12,4.96,5.92,6.24,5.92,5.60,5.28,3.84,4.48,5.76,7.20,5.44,4.80,4.80,5.28,4.48,5.12,8.32,5.28,5.12,4.96
5.846,2.08,2.24,4.16,3.84,4.80,3.20,3.04,3.04,5.60,5.12,4.00,4.00,3.36,5.12,5.76,5.28,3.52,6.56,4.48,4.32,4.80,3.52,5.12,6.72,4.96,4.80,4.32,6.56,6.40,5.12,4.32,5.28,5.12,4.00,4.96,6.88,6.08,5.92,5.28,4.64
6.154,2.24,2.40,4.32,2.40,3.20,4.96,4.32,3.68,3.04,5.60,3.20,3.52,6.08,4.00,4.80,4.80,5.76,4.48,4.80,3.04,6.56,5.92,4.32,6.40,5.28,5.44,4.00,5.76,4.64,5.44,4.48,5.28,4.80,6.40,3.52,4.64,5.12,4.64,7.36,5.76
6.462,2.08,3.04,1.60,3.36,4.96,3.36,3.36,4.00,4.32,4.48,5.44,4.80,4.96,5.44,5.28,5.28,5.28,5.44,4.48,4.80,2.88,6.72,6.72,5.44,5.60,5.44,4.80,4.16,4.32,4.32,4.64,5.92,5.28,6.40,6.08,6.24,5.12,4.80,4.48,4.80
6.769,2.08,2.72,4.16,3.52,4.00,4.80,3.84,3.52,3.36,5.12,4.16,5.12,4.16,5.44,5.28,4.96,6.40,4.32,6.24,4.96,4.64,4.16,5.12,4.64,5.28,4.96,4.48,5.12,5.60,4.64,5.60,5.12,4.48,6.40,4.16,6.24,6.08,4.16,4.64,3.52
7.077,2.56,2.08,4.64,3.84,4.00,3.52,5.76,4.16,3.20,5.12,2.88,4.64,3.36,5.44,4.00,4.80,4.64,3.52,4.80,4.48,5.28,5.60,6.40,5.92,4.64,5.92,4.96,4.48,6.24,3.84,4.96,4.48,5.92,5.44,5.28,5.44,5.12,5.60,4.48,4.96
7.385,3.36,3.20,2.40,4.80,3.52,4.80,4.96,5.12,4.64,5.92,4.64,4.32,4.48,4.80,4.64,4.64,5.76,4.16,6.24,5.76,4.80,6.24,5.60,5.92,7.04,5.28,5.12,4.00,4.64,4.32,4.80,4.64,5.60,4.80,4.32,6.24,4.80,4.48,4.16,6.72
