# th0_err_rad(x) × mgl_err(y), 每格 625 次
th0_err_rad\mgl_err,0.000,0.008,0.015,0.023,0.031,0.038,0.046,0.054,0.062,0.069,0.077,0.085,0.092,0.100,0.108,0.115,0.123,0.131,0.138,0.146,0.154,0.162,0.169,0.177,0.185,0.192,0.200,0.208,0.215,0.223,0.231,0.238,0.246,0.254,0.262,0.269,0.277,0.285,0.292,0.300
0.000,3.36,5.44,5.12,4.16,3.20,4.32,4.00,5.28,5.12,3.84,4.96,7.04,7.36,6.88,4.32,4.64,5.60,6.88,5.76,4.96,8.80,4.80,7.84,5.92,6.56,7.84,7.84,8.96,8.00,9.44,9.28,6.08,12.00,6.88,10.56,8.32,10.24,7.68,9.60,8.48
0.008,3.52,4.96,2.40,4.16,3.36,4.96,5.60,5.44,7.04,5.92,5.60,5.60,5.92,5.44,6.40,5.92,6.88,5.60,8.48,7.04,5.60,7.84,8.32,7.68,7.36,8.00,7.68,8.64,6.08,7.04,7.20,9.92,7.84,7.84,10.40,10.40,9.44,10.24,11.36,10.56
0.015,4.48,5.12,4.96,3.20,4.16,5.12,3.84,3.36,5.28,5.92,5.28,4.16,5.12,5.12,5.12,6.40,4.64,6.24,6.88,7.20,8.00,6.56,7.36,8.00,6.88,6.72,6.72,7.52,6.88,7.84,7.52,9.12,6.56,8.16,8.80,8.48,8.96,7.04,9.92,10.88
0.023,3.84,4.16,4.96,5.44,5.28,3.84,3.52,4.64,4.64,4.80,4.32,4.64,6.72,7.20,6.08,5.12,5.76,6.24,6.24,5.92,6.56,5.92,6.24,8.32,6.08,8.64,6.56,8.48,10.72,8.32,9.92,6.40,9.60,7.68,10.08,8.48,8.64,9.28,12.00,8.96
0.031,5.44,4.48,4.96,4.48,4.64,3.36,4.64,5.28,4.32,4.48,4.80,7.04,4.80,5.76,5.76,6.40,5.28,5.92,5.76,6.24,6.56,8.80,7.84,8.32,7.20,8.64,7.20,7.36,8.64,8.64,8.16,8.16,8.00,8.16,8.96,9.76,8.00,9.44,9.76,11.20
0.038,5.60,4.32,4.80,3.52,3.84,4.32,4.32,5.92,4.16,5.28,4.64,5.60,6.72,5.12,7.04,5.28,6.40,5.76,6.56,6.72,6.24,8.80,7.68,8.32,5.92,8.64,7.84,8.64,5.92,8.00,9.60,8.32,10.40,11.20,8.64,9.44,8.64,10.72,10.56,10.40
0.046,3.52,3.84,5.92,3.52,5.44,4.96,4.96,3.04,4.32,5.92,4.64,5.44,6.88,4.00,6.08,6.72,6.72,6.72,7.36,7.68,6.88,6.88,6.56,5.92,6.24,8.32,7.20,6.88,8.00,8.00,9.28,10.88,7.52,8.80,9.60,10.08,12.00,10.56,9.28,7.84
0.054,4.80,4.80,4.96,4.00,2.72,4.32,5.60,4.48,5.76,4.00,4.80,7.84,4.48,4.96,5.76,6.56,6.24,6.88,5.28,6.88,6.08,8.32,7.36,8.32,7.52,6.72,7.04,6.56,7.68,7.84,8.64,7.36,8.32,7.84,9.28,8.96,11.52,8.96,9.44,7.20
0.062,4.80,4.16,3.20,4.32,4.48,5.60,7.04,4.32,5.76,5.12,7.36,6.72,4.80,4.64,4.00,6.40,8.32,6.56,4.80,6.24,5.28,8.32,5.92,6.24,6.24,6.40,6.56,7.84,8.16,8.80,9.60,8.48,7.36,12.16,7.84,6.56,9.12,10.24,9.12,9.28
